#  idx_gal   shID  Ngali  Ngalf    Rij(kpc)  size(kpc)  sigm(km/s)  Pmin(ds)    GrNr    x(kpc)    y(kpc)   V_LOS(km/s)
     67       67      0      0        0.00       0.00       0.00    -1.0000      -1  132884.46   42725.73 -822601.95
     68       68      0      0        0.00       0.00       0.00    -1.0000      -1   89094.55   42004.27 -355427.43
     69       69     12     12    77843.86    3300.81  735583.84     0.6870      11   69640.40   19576.91  -14157.06
     70       70      0      0        0.00       0.00       0.00    -1.0000      -1    4119.61   11891.07  -26307.28
     71       71      6      6   174276.85   40107.60  173622.15     0.0080      14  184660.80  102700.41  328369.39
     72       72      0      0        0.00       0.00       0.00    -1.0000      -1   66136.16   31864.12  419371.05
     73       73      6      6   104065.01   26013.79  164555.16     0.0010      12 -126997.56   28513.10  520373.62
     74       74      0      0        0.00       0.00       0.00    -1.0000      -1   85547.62  -12020.40   -8919.26
     75       75      0      0        0.00       0.00       0.00    -1.0000      -1   59194.13  -14377.72  307364.89
     76       76      0      0        0.00       0.00       0.00    -1.0000      -1   76926.61   38252.04  827994.89
     77       77      0      0        0.00       0.00       0.00    -1.0000      -1  -46592.67   -9006.41   86501.91
     78       78      0      0        0.00       0.00       0.00    -1.0000      -1   27548.36   17037.13  563911.26
     79       79      0      0        0.00       0.00       0.00    -1.0000      -1   57932.81   29264.42 1454877.46
     80       80      0      0        0.00       0.00       0.00    -1.0000      -1   64169.32   28008.69  871914.01
     81       81      9      9   124985.60    4608.06  327646.68     0.0120      15  116403.02    7737.77 -117695.05
     82       82      0      0        0.00       0.00       0.00    -1.0000      -1   64794.02   32595.17 -719932.09
     83       83      0      0        0.00       0.00       0.00    -1.0000      -1   72304.40   -7827.11 -348020.66
     84       84      6      6    69150.63     415.10  307902.84     0.3060      16   51440.99   61317.32  977966.45
     85       85      0      0        0.00       0.00       0.00    -1.0000      -1   64601.21   45959.65  305703.03
     86       86      0      0        0.00       0.00       0.00    -1.0000      -1  -36429.53   25315.57 -919926.67
     87       87      0      0        0.00       0.00       0.00    -1.0000      -1   37131.57   30424.92 -171822.56
     88       88      9      9   124985.60    4608.06  327646.68     0.0070      15  116701.94    3461.40 -201759.25
     89       89      6      6   174276.85   40107.60  173622.15     0.1450      14  144553.20   77138.80  329272.34
     90       90      0      0        0.00       0.00       0.00    -1.0000      -1  103111.79   -6243.29 -949751.57
     91       91      0      0        0.00       0.00       0.00    -1.0000      -1   73563.63   41854.67 1215166.66
     92       92     12     12    77843.86    3300.81  735583.84     0.1270      11   78460.82   17839.92 -620294.40
     93       93      6      6   104065.01   26013.79  164555.16     0.2400      12  -88413.82   22424.11  714320.56
     94       94     12     12    77843.86    3300.81  735583.84     0.0010      11   76031.57   12667.24 -844617.64
     95       95      0      0        0.00       0.00       0.00    -1.0000      -1   -1730.01    -629.51  408709.36
     96       96      0      0        0.00       0.00       0.00    -1.0000      -1   99104.33   20981.46  399536.46
     97       97     12     12    77843.86    3300.81  735583.84     0.0910      11   71330.27   16825.10  145583.65
     98       98      0      0        0.00       0.00       0.00    -1.0000      -1   72066.00   52100.97 -870311.34
     99       99      0      0        0.00       0.00       0.00    -1.0000      -1   46737.99   34758.42 1388671.67
    100      100      0      0        0.00       0.00       0.00    -1.0000      -1   99712.26   11028.64  460210.62
    101      101      0      0        0.00       0.00       0.00    -1.0000      -1   30306.62   24616.92  725364.56
