#  idx_gal   shID  Ngali  Ngalf    Rij(kpc)  size(kpc)  sigm(km/s)  Pmin(ds)    GrNr    x(kpc)    y(kpc)   V_LOS(km/s)
    296      296      6      6   176140.95     529.55  214548.82     0.0060       3 -147365.00  -96598.92  323259.78
    297      297      6      6   176140.95     529.55  214548.82     0.0070       3 -147894.55  -96587.74  279271.98
    298      298     15     15    37104.30    3617.79  790895.66     0.0000       6    7654.88   31474.01  928714.47
    299      299      0      0        0.00       0.00       0.00    -1.0000      -1   29180.60    4551.80 -1134406.55
    300      300      6      6   174276.85   40107.60  173622.15     0.3680      14  148395.37   57790.55  248272.85
    301      301      0      0        0.00       0.00       0.00    -1.0000      -1   26263.87   33847.76  -86991.94
    302      302      0      0        0.00       0.00       0.00    -1.0000      -1   57711.17   29489.82  185225.05
    303      303      0      0        0.00       0.00       0.00    -1.0000      -1   55250.94   27626.88  708271.52
    304      304      0      0        0.00       0.00       0.00    -1.0000      -1   53368.98   30496.94  581858.36
    305      305      0      0        0.00       0.00       0.00    -1.0000      -1   43275.23   38684.98  356535.81
    306      306      6      6    69150.63     415.10  307902.84     0.3350      16   51437.13   45595.76  648736.03
    307      307      0      0        0.00       0.00       0.00    -1.0000      -1   88069.35    9611.57 1857221.81
    308      308      9      9   124985.60    4608.06  327646.68     0.2070      15  138207.67   -7723.03  105053.06
    309      309      9      9   124985.60    4608.06  327646.68     0.0120      15  133599.61    1151.21  278234.32
    310      310      0      0        0.00       0.00       0.00    -1.0000      -1   19172.49   84936.77 -917260.52
    311      311      0      0        0.00       0.00       0.00    -1.0000      -1   18903.14   85039.07 -912046.52
    312      312      0      0        0.00       0.00       0.00    -1.0000      -1   19169.50  101219.16 -272196.80
    313      313     12     12    77843.86    3300.81  735583.84     0.2150      11   85018.03   10384.34 -1686767.52
    314      314     12     12    77843.86    3300.81  735583.84     0.2130      11   84914.89   10476.97 -1755965.64
    315      315      0      0        0.00       0.00       0.00    -1.0000      -1   88056.33   28988.17 -2237134.08
    316      316      3      3   109363.35    3806.50   73185.76     0.0000       9  107890.16   -6293.49 1944383.42
    317      317      3      3   109363.35    3806.50   73185.76     0.0180       9  111696.66   -4749.16 1995184.99
    318      318      3      3   109363.35    3806.50   73185.76     0.0000       9  108049.62   -6050.81 1850902.48
