#  idx_gal   gal_id   Ngal    Ri_avr(kpc)  size_i(kpc)   sigma_i(km/s)   delta_v    delta_sigma     P_v      P_sigma    Pmin(ds)
     77        77       3      40926.14       1268.91     297225.75      0.67408      2.44988     0.3920     0.1290     0.1290
     77        77       6      37418.84       1268.91     424766.69      0.85692      2.29419     0.3270     0.0790     0.0790
     77        77       9      36222.18       1268.91     742702.33      0.09940      0.44172     0.9020     0.4180     0.4180
     77        77      12      34936.04       1268.91     690489.52      0.74091      0.90434     0.4360     0.2780     0.2780
     77        77      15      35703.66       1268.91     734223.59      0.31836      0.61331     0.7190     0.3480     0.3480
     78        78       3      33380.72       6611.68     204314.80      0.90103      2.83220     0.2400     0.0690     0.0690
     78        78       6      34875.59       6611.68     368006.35      0.82219      2.63608     0.3510     0.0320     0.0320
     78        78       9      33570.82       6611.68     698762.87      0.02205      0.62743     0.9730     0.3870     0.3870
     78        78      12      34750.24       6611.68     726427.29      0.40782      0.62212     0.6800     0.3920     0.3920
     78        78      15      35129.95       6611.68     737785.27      0.06925      0.58272     0.9330     0.3780     0.3780
     79        79       3      64955.02        536.00     767654.06      0.82921      0.59559     0.2600     0.5090     0.2600
     79        79       6      63602.53        536.00     671651.78      0.79282      1.26765     0.4020     0.2610     0.2610
     79        79       9      63912.30        536.00     568470.33      1.00486      2.11854     0.2900     0.0740     0.0740
     79        79      12      64391.88        536.00     607470.31      1.03141      2.09936     0.2980     0.0650     0.0650
     79        79      15      64085.24        536.00     701924.20      0.76140      1.57679     0.4260     0.1410     0.1410
     80        80       3      70909.54        180.01     917602.23      1.67500     -0.03331     0.0380     0.6420     0.0380
     80        80       6      69931.03        180.01     988767.36      1.24218     -0.42187     0.1730     0.6740     0.1730
     80        80       9      69741.42        180.01    1082001.46      0.79969     -1.07496     0.4010     0.7980     0.4010
     80        80      12      70298.29        180.01     955519.47      0.79771     -0.31878     0.3900     0.6470     0.3900
     80        80      15      70501.14        180.01     887884.56      1.17565      0.16578     0.2300     0.4800     0.2300
     81        81       3     118597.97       5542.14     479810.66      0.20011      1.43305     0.8010     0.3380     0.3380
     81        81       6     119656.74       5542.14     404476.32      0.20577      2.29374     0.8230     0.0740     0.0740
     81        81       9     117558.31       5542.14     889300.42      2.22896     -0.90126     0.0120     0.7740     0.0120
     81        81      12     115774.23       5542.14    1017379.69      2.23823     -2.06502     0.0180     0.9420     0.0180
     81        81      15     114725.42       5542.14     920340.32      2.20616     -1.38276     0.0260     0.8910     0.0260
     82        82       3      73396.74       1147.32     614926.80      0.02406      1.24004     0.9730     0.3410     0.3410
     82        82       6      73561.76       1147.32    1062916.04      0.49292     -0.81742     0.5600     0.7800     0.5600
     82        82       9      72514.38       1147.32    1105913.50      1.36146     -1.21956     0.1580     0.8380     0.1580
     82        82      12      72836.67       1147.32     998446.02      1.08341     -0.61733     0.2700     0.7160     0.2700
     82        82      15      72688.55       1147.32     916260.80      0.97696     -0.05001     0.3170     0.5720     0.3170
     83        83       3      71996.33      12222.35    1067946.73      1.25833     -0.66581     0.1040     0.7360     0.1040
     83        83       6      74165.99      12222.35     875697.50      1.22970      0.18130     0.1840     0.5510     0.1840
     83        83       9      73944.81      12222.35     727717.86      1.14365      1.13092     0.2390     0.2620     0.2390
     83        83      12      76372.04      12222.35     712881.12      0.67717      1.36875     0.4770     0.1640     0.1640
     83        83      15      78209.46      12222.35     768851.22      0.91608      1.07101     0.3320     0.2210     0.2210
     84        84       3      80172.05       3381.30     578702.26      1.26273      1.31006     0.1060     0.3540     0.1060
     84        84       6      82658.03       3381.30     799614.62      0.92794      0.44285     0.3060     0.4700     0.3060
     84        84       9      76993.80       3381.30     645645.96      1.41585      1.64100     0.1410     0.1330     0.1330
     84        84      12      75385.08       3381.30     685106.72      1.41153      1.56192     0.1280     0.1510     0.1280
     84        84      15      75911.55       3381.30     696747.59      1.08029      1.61934     0.2710     0.1220     0.1220
     85        85       3      80694.26       4648.30      92251.21      0.31944      3.42580     0.6780     0.0160     0.0160
     85        85       6      78803.79       4648.30     846056.36      0.41953      0.18672     0.6830     0.5110     0.5110
     85        85       9      77688.14       4648.30     882814.40      0.12801      0.16700     0.8970     0.5150     0.5150
     85        85      12      79038.91       4648.30    1182308.14      1.43323     -2.17429     0.1260     0.9650     0.1260
     85        85      15      79729.54       4648.30    1137364.01      1.33951     -2.02410     0.1610     0.9400     0.1610
     86        86       3      38374.29       1322.55     881744.23      0.15561     -0.25840     0.8310     0.6720     0.6720
     86        86       6      35918.35       1322.55     727303.55      0.15917      0.47190     0.8580     0.4730     0.4730
     86        86       9      35336.73       1322.55     646310.21      0.44242      1.11816     0.6330     0.2340     0.2340
     86        86      12      34134.03       1322.55     594627.85      1.01496      1.65715     0.2900     0.1300     0.1300
     86        86      15      32563.38       1322.55     629605.09      0.73869      1.37643     0.4550     0.1730     0.1730
     87        87       3      46882.94       1010.78     696188.18      0.68757      0.68099     0.3760     0.5030     0.3760
     87        87       6      44909.69       1010.78     826648.47      0.25687      0.11596     0.7740     0.5340     0.5340
     87        87       9      47621.31       1010.78     788734.74      0.83392      0.38820     0.3730     0.4750     0.3730
     87        87      12      46954.21       1010.78     852302.20      0.55000     -0.04047     0.5590     0.6050     0.5590
     87        87      15      46661.23       1010.78     770627.57      0.90971      0.62292     0.3330     0.3890     0.3330
     88        88       3     118597.97       5841.00     479810.66      0.20011      1.43305     0.7750     0.3270     0.3270
     88        88       6     116934.25       5841.00     893421.62      1.00710     -0.79965     0.2580     0.7250     0.2580
     88        88       9     116225.61       5841.00     983666.71      2.54837     -1.59683     0.0070     0.9000     0.0070
     88        88      12     118153.15       5841.00     968712.27      2.06490     -1.66359     0.0290     0.9060     0.0290
     88        88      15     116001.65       5841.00     891699.90      2.36273     -1.12444     0.0140     0.8300     0.0140
     89        89       3     152607.66      29181.95     126255.46      0.42081      3.12632     0.5450     0.0270     0.0270
     89        89       6     144020.39      29181.95     431379.44      0.53633      1.81694     0.5490     0.1450     0.1450
     89        89       9     140739.84      29181.95     442339.99      1.19847      2.22156     0.2070     0.0570     0.0570
     89        89      12     139008.48      29181.95     583057.29      0.45106      1.26424     0.6830     0.2050     0.2050
     89        89      15     141670.70      29181.95     562285.89      0.75053      1.57957     0.4600     0.1130     0.1130
     90        90       3     103357.80       9347.99    1566587.10      0.24750     -3.62352     0.7420     0.9790     0.7420
     90        90       6     104421.15       9347.99    1318603.12      2.40955     -3.09920     0.0090     0.9820     0.0090
     90        90       9     103200.03       9347.99    1154750.80      2.70074     -2.45952     0.0090     0.9690     0.0090
     90        90      12     102667.15       9347.99    1094627.17      2.09334     -2.27962     0.0260     0.9580     0.0260
     90        90      15     100375.85       9347.99     979400.77      2.19634     -1.50202     0.0250     0.9020     0.0250
     91        91       3      84060.80       2607.27    2011474.48      0.07798     -4.92152     0.9120     0.9930     0.9120
     91        91       6      84227.41       2607.27    1784883.35      0.27343     -4.99091     0.7710     0.9990     0.7710
     91        91       9      83449.49       2607.27    1457983.20      0.02777     -3.71426     0.9790     0.9980     0.9790
     91        91      12      82968.66       2607.27    1274139.64      0.01885     -2.83458     0.9820     0.9810     0.9810
     91        91      15      83262.06       2607.27    1140526.92      0.28601     -2.04897     0.7690     0.9540     0.7690
     92        92       3      80576.88       5292.78     386916.62      1.59785      2.14420     0.0280     0.1830     0.0280
     92        92       6      79564.79       5292.78     803406.69      1.34564      0.42193     0.1320     0.4340     0.1320
     92        92       9      79383.88       5292.78     973514.42      1.54596     -0.60141     0.1000     0.7130     0.1000
     92        92      12      78340.21       5292.78     865578.97      1.52109      0.30675     0.1270     0.4660     0.1270
     92        92      15      78796.45       5292.78     893429.14      2.60161     -0.10626     0.0090     0.5690     0.0090
     93        93       3      91788.55      22816.39     115307.72      0.91328      3.30308     0.2290     0.0210     0.0210
     93        93       6      94065.86      22816.39     600236.70      0.68266      1.39433     0.4550     0.2400     0.2400
     93        93       9      76118.96      22816.39     507776.60      0.99711      2.49786     0.3100     0.0360     0.0360
     93        93      12      65822.59      22816.39     506872.90      1.11039      2.79942     0.2530     0.0140     0.0140
     93        93      15      64038.37      22816.39     533778.07      1.07547      2.85627     0.2660     0.0080     0.0080
     94        94       3      76209.81       3300.81     397519.13      1.80539      2.15467     0.0220     0.1750     0.0220
     94        94       6      76728.82       3300.81     607540.98      1.95366      1.61179     0.0350     0.2000     0.0350
     94        94       9      76935.95       3300.81     725075.79      2.22178      1.14734     0.0230     0.2720     0.0230
     94        94      12      77843.86       3300.81     735583.84      2.88133      1.21086     0.0010     0.2260     0.0010
     94        94      15      77048.18       3300.81     903130.45      2.26301      0.04984     0.0210     0.5660     0.0210
     95        95       3       5414.59       1994.67     765314.61      0.80481     -0.03858     0.3080     0.6590     0.3080
     95        95       6       7396.98       1994.67     501678.89      1.66470      1.63960     0.0550     0.1850     0.0550
     95        95       9       8981.29       1994.67     596683.51      1.06353      1.20131     0.2550     0.2180     0.2180
     95        95      12      11508.02       1994.67     590710.98      0.83388      1.39421     0.3920     0.1900     0.1900
     95        95      15      14735.34       1994.67     592031.88      0.34523      1.51242     0.7250     0.1440     0.1440
     96        96       3     102544.81        711.38     251103.65      0.24569      2.63280     0.7550     0.0910     0.0910
     96        96       6     102063.52        711.38     398817.63      1.22673      2.44763     0.1640     0.0600     0.0600
     96        96       9      98540.23        711.38     934347.24      0.29177     -0.61831     0.7740     0.7180     0.7180
     96        96      12      97243.49        711.38     940646.29      0.06540     -0.73925     0.9460     0.7330     0.7330
     96        96      15      97299.30        711.38    1110612.80      0.46136     -2.20439     0.6390     0.9630     0.6390
     97        97       3      74483.92       1731.17    1025206.07      0.66181     -0.48600     0.3840     0.7300     0.3840
     97        97       6      74000.20       1731.17     764907.68      1.35606      0.77231     0.1410     0.3940     0.1410
     97        97       9      74452.76       1731.17     864402.77      1.23341      0.28143     0.1930     0.4690     0.1930
     97        97      12      74621.95       1731.17     750875.11      1.66276      1.10451     0.0910     0.2320     0.0910
     97        97      15      74398.13       1731.17     798173.44      1.33276      0.84802     0.1800     0.2770     0.1800
     98        98       3      89210.32       2650.06    1310693.79      1.45807     -2.12862     0.0480     0.9070     0.0480
     98        98       6      86566.55       2650.06    1580587.69      1.42350     -3.86422     0.1190     0.9870     0.1190
     98        98       9      86170.83       2650.06    1301351.12      1.08096     -2.70785     0.2450     0.9720     0.2450
     98        98      12      85823.57       2650.06    1264389.58      0.02283     -2.76448     0.9840     0.9840     0.9840
     98        98      15      87321.55       2650.06    1202963.27      0.06056     -2.53985     0.9640     0.9750     0.9640
     99        99       3      60228.73       8734.20     543740.01      1.15046      1.48406     0.1410     0.3190     0.1410
     99        99       6      60730.72       8734.20     541223.81      1.60298      1.89555     0.0890     0.1380     0.0890
     99        99       9      59233.45       8734.20     774520.47      1.12510      0.72333     0.2520     0.3710     0.2520
     99        99      12      59199.98       8734.20     710599.74      1.13712      1.26479     0.2310     0.1960     0.1960
     99        99      15      60657.05       8734.20     838425.45      2.10372      0.38731     0.0260     0.4450     0.0260
    100       100       3      99285.81       6079.69     437183.65      0.58317      1.84051     0.4270     0.2580     0.2580
    100       100       6      97992.48       6079.69     355048.42      0.68429      2.80704     0.4690     0.0260     0.0260
    100       100       9      95581.64       6079.69     613347.25      1.88193      1.53646     0.0560     0.1650     0.0560
    100       100      12      94664.85       6079.69    1023802.31      0.57623     -1.36391     0.5510     0.8620     0.5510
    100       100      15      94950.94       6079.69     986066.07      1.39804     -1.18139     0.1400     0.8490     0.1400
    101       101       3      43313.19       2492.96    1233946.81      0.40921     -1.74911     0.5510     0.8770     0.5510
    101       101       6      42307.44       2492.96     833158.80      0.59286     -0.04221     0.5040     0.5890     0.5040
    101       101       9      42257.91       2492.96     811301.00      0.19159      0.10044     0.8140     0.5520     0.5520
    101       101      12      41206.58       2492.96     704923.82      0.00689      0.92723     0.9920     0.2800     0.2800
    101       101      15      40608.94       2492.96     697247.57      0.00411      1.07816     0.9970     0.2340     0.2340
    102       102       3      26684.81       2807.96     849575.98      0.30553     -0.46418     0.7060     0.7030     0.7030
    102       102       6      28661.60       2807.96     645896.92      0.41536      0.76623     0.6590     0.3970     0.3970
    102       102       9      26623.11       2807.96     573569.62      0.26820      1.37378     0.7830     0.2050     0.2050
    102       102      12      24652.48       2807.96     623209.54      0.03298      1.12284     0.9790     0.2350     0.2350
    102       102      15      26094.69       2807.96     632008.21      0.17768      1.14742     0.8550     0.2180     0.2180
    103       103       3      40486.55      27058.09    1028019.65      0.43827     -0.93614     0.5550     0.7790     0.5550
    103       103       6      38577.41      27058.09     827867.77      0.73443     -0.01112     0.4070     0.5920     0.4070
    103       103       9      38670.57      27058.09     834769.24      2.09583     -0.06019     0.0300     0.5950     0.0300
    103       103      12      37819.30      27058.09     865407.11      1.93143     -0.46930     0.0400     0.6910     0.0400
    103       103      15      39210.91      27058.09     798422.11      1.96816      0.23077     0.0490     0.4760     0.0490
    104       104       3      91518.99       2320.03     474110.94      1.38311      1.67272     0.0740     0.2610     0.0740
    104       104       6      89059.65       2320.03    1547530.86      0.46591     -4.06371     0.5940     0.9970     0.5940
    104       104       9      87198.51       2320.03    1262076.22      0.54283     -2.45550     0.5660     0.9590     0.5660
    104       104      12      87404.15       2320.03    1181445.25      1.23850     -2.16809     0.1850     0.9620     0.1850
    104       104      15      88691.60       2320.03    1088232.67      1.23056     -1.63783     0.2150     0.9100     0.2150
    105       105       3      92338.57        214.25    1196161.83      1.79917     -1.60820     0.0110     0.8710     0.0110
    105       105       6      87474.28        214.25    1361562.67      1.18755     -2.65630     0.2140     0.9700     0.2140
    105       105       9      86514.24        214.25    1113438.22      1.64315     -1.50046     0.0670     0.8780     0.0670
    105       105      12      85647.69        214.25     989803.59      1.77685     -0.79014     0.0600     0.7650     0.0600
    105       105      15      87569.35        214.25    1006606.25      1.01124     -0.99607     0.3200     0.8000     0.3200
    106       106       3     105303.28       2868.51     196996.75      1.29715      2.89013     0.0900     0.0720     0.0720
    106       106       6     102247.85       2868.51     623364.72      0.86353      1.09348     0.3330     0.3000     0.3000
    106       106       9     103638.04       2868.51     562062.34      1.16623      1.70467     0.2390     0.1340     0.1340
    106       106      12     105299.79       2868.51     607294.82      0.58458      1.55199     0.5540     0.1560     0.1560
    106       106      15     104887.24       2868.51     850326.08      0.22605     -0.39235     0.8220     0.6630     0.6630
    107       107       3     121351.74         49.94    1190836.81      0.31850     -2.11456     0.6890     0.9160     0.6890
    107       107       6     118407.10         49.94     982230.44      0.87759     -1.36152     0.3410     0.8680     0.3410
    107       107       9     119063.83         49.94     882962.46      0.45183     -0.85455     0.6320     0.7590     0.6320
    107       107      12     118035.56         49.94     777615.71      0.61371     -0.08734     0.5130     0.5570     0.5130
    107       107      15     118994.50         49.94     739749.33      0.69642      0.24603     0.4790     0.4770     0.4770
    108       108       3      71548.35        967.55    1336604.27      1.03976     -1.79604     0.1640     0.8880     0.1640
    108       108       6      71604.69        967.55     988754.78      1.06871     -0.42180     0.2510     0.6690     0.2510
    108       108       9      71445.97        967.55     915429.58      1.34756     -0.03571     0.1280     0.5690     0.1280
    108       108      12      71667.14        967.55     982417.90      2.13432     -0.50586     0.0280     0.6910     0.0280
    108       108      15      71375.63        967.55    1014279.42      1.74770     -0.79542     0.0750     0.7550     0.0750
    109       109       3      85144.01       4343.75     768792.65      0.15845      0.48330     0.8270     0.5160     0.5160
    109       109       6      82658.03       4343.75     799614.62      0.92794      0.44285     0.3000     0.4480     0.3000
    109       109       9      82680.68       4343.75     751880.36      0.66258      0.82265     0.4900     0.3250     0.3250
    109       109      12      80595.77       4343.75     713837.31      0.59125      1.19413     0.5390     0.2200     0.2200
    109       109      15      80531.94       4343.75     748594.75      1.06350      1.03244     0.2610     0.2660     0.2610
    110       110       3     100550.87       7503.35     830398.91      0.53923     -0.12228     0.4670     0.6610     0.4670
    110       110       6     103336.40       7503.35     933783.75      0.32670     -0.77852     0.7130     0.7500     0.7130
    110       110       9     102114.45       7503.35     827824.70      0.21373     -0.16256     0.8260     0.6110     0.6110
    110       110      12     100320.55       7503.35    1038400.78      0.41665     -1.83755     0.6610     0.9320     0.6610
    110       110      15      98085.52       7503.35    1198793.60      0.67871     -2.92869     0.4840     0.9880     0.4840
    111       111       3     123295.72       3635.46     244839.09      0.68459      2.60542     0.3850     0.0950     0.0950
    111       111       6     125842.30       3635.46     256056.06      0.73397      3.23274     0.4440     0.0090     0.0090
    111       111       9     123696.52       3635.46     619826.19      0.57366      1.08501     0.5370     0.2590     0.2590
    111       111      12     124561.37       3635.46     683351.14      0.54802      0.69020     0.5660     0.3550     0.3550
    111       111      15     124218.85       3635.46     809887.29      1.56687     -0.38656     0.1190     0.6640     0.1190
    112       112       3      47987.72        750.77     590972.21      0.23026      1.15645     0.7410     0.4040     0.4040
    112       112       6      46831.57        750.77     406409.41      0.18775      2.52396     0.8300     0.0510     0.0510
    112       112       9      44226.13        750.77     594924.74      0.70053      1.68205     0.4710     0.1340     0.1340
    112       112      12      44009.25        750.77     578022.75      1.25792      2.00858     0.1990     0.0710     0.0710
    112       112      15      45424.39        750.77     723593.00      1.54355      1.00714     0.1140     0.2370     0.1140
    113       113       3      43818.88       6824.97     567059.52      0.11930      1.26451     0.8700     0.3730     0.3730
    113       113       6      45903.87       6824.97     564329.45      0.93030      1.61907     0.3230     0.1940     0.1940
    113       113       9      45506.45       6824.97     738695.50      0.98278      0.72226     0.3060     0.3640     0.3060
    113       113      12      45452.13       6824.97     637430.14      1.05090      1.56477     0.2960     0.1470     0.1470
    113       113      15      46838.17       6824.97     825204.23      0.68267      0.17710     0.4570     0.4740     0.4570
    114       114       3      85144.01        468.98     768792.65      0.15845      0.48330     0.8310     0.5110     0.5110
    114       114       6      82658.03        468.98     799614.62      0.92794      0.44285     0.2880     0.4630     0.2880
    114       114       9      82680.68        468.98     751880.36      0.66258      0.82265     0.5000     0.3570     0.3570
    114       114      12      83495.37        468.98     766151.53      1.25346      0.81798     0.1850     0.2950     0.1850
    114       114      15      81944.63        468.98     990414.63      0.45853     -0.86877     0.6230     0.7720     0.6230
    115       115       3      89210.32       2117.45    1310693.79      1.45807     -2.12862     0.0640     0.9090     0.0640
    115       115       6      88909.12       2117.45    1560438.43      1.60912     -4.13808     0.0710     0.9970     0.0710
    115       115       9      88101.47       2117.45    1417725.71      0.58549     -3.45559     0.5430     0.9930     0.5430
    115       115      12      89435.65       2117.45    1303924.98      0.79294     -3.46816     0.3910     0.9940     0.3910
    115       115      15      89455.73       2117.45    1195705.76      0.28769     -2.90333     0.7680     0.9880     0.7680
    116       116       3     141715.73      10028.18     534396.78      1.41217      1.02030     0.0670     0.4240     0.0670
    116       116       6     141008.68      10028.18     806165.13      0.67437     -0.51617     0.4590     0.6910     0.4590
    116       116       9     136784.83      10028.18     826384.58      0.38803     -0.75825     0.6590     0.7690     0.6590
    116       116      12     134420.95      10028.18     852139.83      0.48637     -1.07215     0.5860     0.8210     0.5860
    116       116      15     132305.20      10028.18     865670.16      1.07118     -1.30079     0.2740     0.8530     0.2740
    117       117       3      62837.49        566.78     260904.00      1.11956      2.72875     0.1490     0.0720     0.0720
    117       117       6      63523.04        566.78     402025.08      1.29132      2.70684     0.1650     0.0340     0.0340
    117       117       9      62805.34        566.78     502919.29      1.62099      2.52618     0.0870     0.0340     0.0340
    117       117      12      59008.11        566.78     639621.48      1.32808      1.77041     0.1550     0.0880     0.0880
    117       117      15      60035.60        566.78     609930.96      1.58960      2.16710     0.1050     0.0500     0.0500
    118       118       3      62828.08       4798.36     766672.03      0.88167      0.59973     0.2550     0.5130     0.2550
    118       118       6      66751.30       4798.36    1269568.26      0.86959     -1.92385     0.3130     0.9290     0.3130
    118       118       9      65417.56       4798.36    1010299.11      1.28797     -0.62907     0.1640     0.7100     0.1640
    118       118      12      65681.25       4798.36     946085.98      1.53668     -0.25710     0.1130     0.6500     0.1130
    118       118      15      65914.49       4798.36     880614.92      1.46177      0.21707     0.1270     0.4890     0.1270
    119       119       3      64955.02        314.41     767654.06      0.82921      0.59559     0.2760     0.4880     0.2760
    119       119       6      63602.53        314.41     671651.78      0.79282      1.26765     0.3750     0.2520     0.2520
    119       119       9      63912.30        314.41     568470.33      1.00486      2.11854     0.2920     0.0670     0.0670
    119       119      12      64391.88        314.41     607470.31      1.03141      2.09936     0.2650     0.0580     0.0580
    119       119      15      64757.36        314.41     699001.56      0.75027      1.59903     0.4380     0.1320     0.1320
    120       120       3     133241.72       1813.35    1037201.38      0.10014     -1.62050     0.8920     0.8480     0.8480
    120       120       6     131483.99       1813.35     745873.45      0.95046     -0.11464     0.3060     0.6300     0.3060
    120       120       9     131454.65       1813.35     750076.09      0.83773     -0.16617     0.3650     0.6020     0.3650
    120       120      12     129731.12       1813.35     662848.81      1.04043      0.57142     0.2880     0.3720     0.2880
    120       120      15     129597.38       1813.35     623454.91      1.55707      0.99883     0.1100     0.2640     0.1100
    121       121       3      60047.27       1829.40     766628.89      0.78106      0.52363     0.3220     0.5060     0.3220
    121       121       6      60676.34       1829.40     858926.51      0.04304      0.15967     0.9660     0.5310     0.5310
    121       121       9      60805.11       1829.40     748693.79      0.38608      0.88773     0.6780     0.2850     0.2850
    121       121      12      60682.22       1829.40     791477.64      1.10244      0.68865     0.2630     0.3610     0.2630
    121       121      15      61307.67       1829.40     708846.02      1.23275      1.39663     0.2150     0.1650     0.1650
    122       122       3      53834.93       5645.27     329916.45      0.51923      2.37251     0.5020     0.1390     0.1390
    122       122       6      56032.35       5645.27     644378.91      0.46899      1.33193     0.6220     0.2150     0.2150
    122       122       9      55335.96       5645.27     624141.70      1.17790      1.68059     0.2300     0.1410     0.1410
    122       122      12      56627.74       5645.27     740068.51      0.40031      1.05486     0.6520     0.2400     0.2400
    122       122      15      57956.68       5645.27     690749.10      0.41458      1.53759     0.6730     0.1340     0.1340
    123       123       3      37537.94      15094.43     827246.88      0.30307     -0.10260     0.6750     0.6350     0.6350
    123       123       6      33825.82      15094.43     630991.69      0.30058      0.95696     0.7550     0.3170     0.3170
    123       123       9      38488.50      15094.43     561478.55      0.10322      1.81044     0.9140     0.1260     0.1260
    123       123      12      37606.56      15094.43     502039.36      0.36378      2.38425     0.7080     0.0350     0.0350
    123       123      15      40244.37      15094.43     553568.77      0.48520      2.28154     0.6220     0.0390     0.0390
    124       124       3      87033.09        965.00     754299.85      0.33981      0.54633     0.6620     0.5190     0.5190
    124       124       6      84247.55        965.00    1122878.24      1.39017     -1.33995     0.1440     0.8510     0.1440
    124       124       9      83251.04        965.00    1065933.47      0.89393     -1.19523     0.3500     0.8390     0.3500
    124       124      12      85128.53        965.00    1252628.28      0.07716     -2.67991     0.9360     0.9780     0.9360
    124       124      15      84548.84        965.00    1133311.25      0.38348     -1.99224     0.7050     0.9390     0.7050
    125       125       3     120770.95         49.94    1200668.99      0.30855     -2.16362     0.6840     0.9050     0.6840
    125       125       6     117901.36         49.94    1107227.74      0.33529     -2.15233     0.7130     0.9350     0.7130
    125       125       9     117234.25         49.94     917962.71      0.33395     -1.11253     0.7070     0.8180     0.7070
    125       125      12     117597.29         49.94     844765.23      0.54167     -0.64122     0.5640     0.7160     0.5640
    125       125      15     118309.40         49.94     787603.57      0.35420     -0.18558     0.7010     0.5920     0.5920
    126       126       3      80172.05       3504.58     578702.26      1.26273      1.31006     0.1030     0.3730     0.1030
    126       126       6      82658.03       3504.58     799614.62      0.92794      0.44285     0.3080     0.4810     0.3080
    126       126       9      76993.80       3504.58     645645.96      1.41585      1.64100     0.1390     0.1240     0.1240
    126       126      12      75850.93       3504.58     664044.15      1.04119      1.70841     0.3010     0.1150     0.1150
    126       126      15      74276.07       3504.58     625329.31      1.47843      2.16246     0.1410     0.0550     0.0550
    127       127       3      75500.40       1292.33     143059.01      0.64262      3.22518     0.3950     0.0240     0.0240
    127       127       6      75297.87       1292.33     378199.30      0.90045      2.83522     0.3050     0.0200     0.0200
    127       127       9      76417.33       1292.33     584984.55      0.42939      2.01801     0.6310     0.0670     0.0670
    127       127      12      75518.17       1292.33     838519.62      0.26094      0.49495     0.7970     0.4070     0.4070
    127       127      15      75629.25       1292.33     872557.48      0.15123      0.28234     0.8620     0.4620     0.4620
    128       128       3      12149.92       2625.73     267280.76      0.49198      2.47699     0.5480     0.1230     0.1230
    128       128       6      12027.82       2625.73     405733.40      0.51572      2.25411     0.5780     0.0790     0.0790
    128       128       9      14829.46       2625.73     722150.70      0.59150      0.26509     0.5220     0.4870     0.4870
    128       128      12      13254.89       2625.73     670135.26      1.33610      0.73099     0.1640     0.3470     0.1640
    128       128      15      15290.30       2625.73     659266.89      1.36111      0.89853     0.1550     0.3040     0.1550
    129       129       3     115900.05       2647.85     547681.32      0.06856      1.09441     0.9420     0.4210     0.4210
    129       129       6     117676.33       2647.85     568499.86      1.00340      1.25602     0.2770     0.2680     0.2680
    129       129       9     118186.04       2647.85     631985.12      0.62443      0.99538     0.4900     0.2840     0.2840
    129       129      12     118392.77       2647.85     630310.70      0.85185      1.12770     0.4060     0.2420     0.2420
    129       129      15     118369.70       2647.85     720737.15      0.12916      0.41750     0.8890     0.4310     0.4310
    130       130       3      78061.96       4196.62     687417.78      0.84226      0.93507     0.2990     0.4350     0.2990
    130       130       6      76424.82       4196.62     721743.14      1.65873      1.00258     0.0830     0.3210     0.0830
    130       130       9      77445.77       4196.62     804734.36      1.62756      0.65226     0.0840     0.3640     0.0840
    130       130      12      77561.50       4196.62     862348.13      1.49352      0.32922     0.1210     0.4670     0.1210
    130       130      15      76958.69       4196.62     885219.77      1.38944      0.18605     0.1550     0.4850     0.1550
    131       131       3      91573.94      18424.54    1073310.25      1.10937     -1.04997     0.1230     0.8040     0.1230
    131       131       6      83486.65      18424.54    1003323.28      1.07758     -0.68061     0.2280     0.7430     0.2280
    131       131       9      83444.84      18424.54     921818.99      0.91557     -0.26926     0.3350     0.6370     0.3350
    131       131      12      79876.26      18424.54     926619.42      1.97122     -0.33583     0.0360     0.6580     0.0360
    131       131      15      72624.82      18424.54    1009571.39      1.46357     -0.75962     0.1190     0.7710     0.1190
    132       132       3     105303.28        152.86     196996.75      1.29715      2.89013     0.1010     0.0530     0.0530
    132       132       6     104222.88        152.86     640328.67      0.98638      0.99118     0.2720     0.3160     0.2720
    132       132       9     106892.43        152.86     662520.58      0.55352      0.99886     0.5480     0.3170     0.3170
    132       132      12     107497.80        152.86     759680.21      0.37153      0.35387     0.7020     0.4520     0.4520
    132       132      15     107859.26        152.86     712877.82      0.34323      0.78930     0.7240     0.3160     0.3160
    133       133       3      66411.75      13110.27     824822.05      0.60527      0.35494     0.4450     0.5340     0.4450
    133       133       6      70806.72      13110.27     870374.06      1.05493      0.20970     0.2320     0.5310     0.2320
    133       133       9      72691.90      13110.27     787095.10      0.94636      0.76189     0.3120     0.3720     0.3120
    133       133      12      69597.90      13110.27     791898.53      0.38431      0.81591     0.6890     0.3300     0.3300
    133       133      15      70318.71      13110.27     923805.46      0.00202     -0.10739     0.9990     0.5930     0.5930
    134       134       3      95099.67       4889.71     799088.03      1.01522      0.19606     0.1880     0.5810     0.1880
    134       134       6      94559.82       4889.71     724303.04      1.26154      0.67950     0.1610     0.3900     0.1610
    134       134       9      94155.81       4889.71     746458.39      2.01859      0.64293     0.0410     0.3900     0.0410
    134       134      12      94340.94       4889.71     999583.31      1.16147     -1.18198     0.2120     0.8390     0.2120
    134       134      15      93878.48       4889.71    1053442.61      0.77318     -1.73481     0.4040     0.9230     0.4040
    135       135       3      48961.24      22930.55    1022216.60      0.14137     -0.67965     0.8490     0.7770     0.7770
    135       135       6      48501.06      22930.55     871521.41      0.70929     -0.14117     0.4480     0.6150     0.4480
    135       135       9      44846.69      22930.55     835274.12      0.39694      0.07751     0.6780     0.5600     0.5600
