#  idx_gal   gal_id   Ngal    Ri_avr(kpc)  size_i(kpc)   sigma_i(km/s)   delta_v    delta_sigma     P_v      P_sigma    Pmin(ds)
     13        13       3      78988.96        644.00    1080877.68      0.94971     -0.87406     0.2200     0.7610     0.2200
     13        13       6      80811.38        644.00     857171.96      0.45530      0.12542     0.6020     0.5560     0.5560
     13        13       9      83503.22        644.00     804735.94      1.06639      0.48304     0.2570     0.4350     0.2570
     13        13      12      82389.25        644.00     812912.69      1.46122      0.48175     0.1200     0.3850     0.1200
     13        13      15      81769.55        644.00     734889.61      1.56662      1.14019     0.1030     0.2380     0.1030
     14        14       3      89483.86        394.71     822120.31      1.57038      0.09140     0.0450     0.5990     0.0450
     14        14       6      89233.12        394.71    1472923.84      0.14061     -3.63384     0.8860     0.9920     0.8860
     14        14       9      91145.38        394.71    1185528.65      0.42345     -2.30442     0.6730     0.9630     0.6730
     14        14      12      93197.26        394.71    1029772.00      0.70021     -1.40875     0.4730     0.8760     0.4730
     14        14      15      92359.97        394.71    1051194.04      0.69993     -1.71634     0.5000     0.8970     0.5000
     15        15       3      95613.36       7477.49     662466.11      0.10773      0.81686     0.8750     0.4430     0.4430
     15        15       6      99717.48       7477.49     590743.14      0.73681      1.44903     0.4230     0.2040     0.2040
     15        15       9      96063.09       7477.49     500375.38      1.20602      2.29481     0.1810     0.0540     0.0540
     15        15      12      96305.07       7477.49     898972.02      0.55770     -0.42619     0.5370     0.6920     0.5370
     15        15      15      94203.38       7477.49    1075981.69      0.16555     -1.91994     0.8650     0.9440     0.8650
     16        16       3      95729.85       9218.00     270749.89      0.75060      2.59677     0.3030     0.1070     0.1070
     16        16       6      94384.84       9218.00     682443.90      1.80966      0.92068     0.0510     0.3410     0.0510
     16        16       9      94547.29       9218.00     962328.72      0.99230     -0.80615     0.2970     0.7790     0.2970
     16        16      12      94664.85       9218.00    1023802.31      0.57623     -1.36391     0.5410     0.8700     0.5410
     16        16      15      93150.67       9218.00     991574.09      0.32270     -1.22663     0.7440     0.8470     0.7440
     17        17       3      58139.67       1204.01    1306610.73      0.44795     -1.80314     0.5680     0.8850     0.5680
     17        17       6      59596.87       1204.01     954429.49      0.85143     -0.36215     0.3420     0.6710     0.3420
     17        17       9      59728.82       1204.01     804966.92      1.02754      0.52951     0.2820     0.4130     0.2820
     17        17      12      60899.58       1204.01     771380.86      1.42017      0.83181     0.1310     0.3400     0.1310
     17        17      15      60752.53       1204.01     700770.16      1.37606      1.45953     0.1440     0.1320     0.1320
     18        18       3      85763.64        191.45    2041865.13      1.71369     -5.05370     0.0230     0.9970     0.0230
     18        18       6      85851.54        191.45    1722762.35      0.54680     -4.64832     0.5500     0.9980     0.5500
     18        18       9      85763.76        191.45    1481214.95      0.12248     -3.86353     0.8900     0.9970     0.8900
     18        18      12      85259.53        191.45    1283306.72      0.27196     -2.90050     0.7700     0.9890     0.7700
     18        18      15      85318.02        191.45    1149500.37      0.17278     -2.11952     0.8540     0.9560     0.8540
     19        19       3      56510.83       7585.02    1269674.64      0.12196     -1.64399     0.8530     0.8930     0.8530
     19        19       6      56280.30       7585.02     990513.80      1.35834     -0.55930     0.1360     0.6980     0.1360
     19        19       9      53244.32       7585.02     903605.02      2.18997     -0.23153     0.0240     0.6150     0.0240
     19        19      12      51412.28       7585.02     850271.99      3.26099      0.12962     0.0010     0.5240     0.0010
     19        19      15      52237.78       7585.02     819043.24      3.96419      0.39061     0.0000     0.4240     0.0000
     20        20       3      46316.90         52.21     669312.16      1.31444      0.80244     0.0790     0.4590     0.0790
     20        20       6      45943.30         52.21     697253.66      3.13241      0.85740     0.0010     0.3750     0.0010
     20        20       9      45020.11         52.21     593540.47      3.78997      1.69129     0.0000     0.1490     0.0000
     20        20      12      45181.69         52.21     566459.88      4.06922      2.09496     0.0000     0.0530     0.0000
     20        20      15      46401.51         52.21     528179.68      4.51188      2.60341     0.0000     0.0160     0.0000
     21        21       3     100550.87       3003.86     830398.91      0.53923     -0.12228     0.4860     0.6600     0.4860
     21        21       6     102747.54       3003.86     745285.70      0.39496      0.35823     0.6690     0.4870     0.4870
     21        21       9      99849.41       3003.86     672693.16      0.06564      1.13809     0.9500     0.2310     0.2310
